flight_date,flight_status,airline,flight,aircraft,live,departure_airport,departure_time,arrival_airport,arrival_time
2024-11-13T09:00:00+00:00,landed,Aegean Airlines,A33369,None,None,Arlanda,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:35:00+00:00
2024-11-13T09:00:00+00:00,landed,Air France,AF3848,None,None,Arlanda,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:35:00+00:00
2024-11-13T09:00:00+00:00,landed,El Al,LY9744,None,None,Arlanda,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:35:00+00:00
2024-11-13T08:25:00+00:00,landed,Air Canada,AC2971,None,None,Pleso,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:30:00+00:00
2024-11-13T08:25:00+00:00,landed,Air France,AF5075,None,None,Pleso,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:30:00+00:00
2024-11-13T08:25:00+00:00,landed,Air India,AI7514,None,None,Pleso,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:30:00+00:00
2024-11-13T08:25:00+00:00,landed,Asiana Airlines,OZ9382,None,None,Pleso,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:30:00+00:00
2024-11-13T08:25:00+00:00,landed,United Airlines,UA7265,None,None,Pleso,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:30:00+00:00
2024-11-13T08:25:00+00:00,landed,Croatia Airlines,OU470,A319,None,Pleso,2024-11-13T08:25:00+00:00,Charles De Gaulle,2024-11-13T10:30:00+00:00
2024-11-13T10:15:00+00:00,active,American Airlines,AA9234,None,None,Queen Alia International,2024-11-13T10:15:00+00:00,Charles De Gaulle,2024-11-13T14:10:00+00:00
2024-11-13T10:15:00+00:00,active,Royal Jordanian,RJ117,B788,"{'updated': '2024-11-13T11:38:12+00:00', 'latitude': 47.752, 'longitude': 15.1808, 'altitude': 12184.4, 'direction': 301, 'speed_horizontal': 863.032, 'speed_vertical': 0, 'is_ground': False}",Queen Alia International,2024-11-13T10:15:00+00:00,Charles De Gaulle,2024-11-13T14:10:00+00:00
2024-11-13T08:55:00+00:00,landed,Air France,AF1437,A321,None,Schiphol,2024-11-13T08:55:00+00:00,Charles De Gaulle,2024-11-13T10:20:00+00:00
2024-11-13T08:35:00+00:00,landed,Hainan Airlines,HU8247,None,None,Leonardo Da Vinci (Fiumicino),2024-11-13T08:35:00+00:00,Charles De Gaulle,2024-11-13T10:50:00+00:00
2024-11-13T08:35:00+00:00,landed,Kenya Airways,KQ4333,None,None,Leonardo Da Vinci (Fiumicino),2024-11-13T08:35:00+00:00,Charles De Gaulle,2024-11-13T10:50:00+00:00
2024-11-13T08:35:00+00:00,landed,Xiamen Airlines,MF9578,None,None,Leonardo Da Vinci (Fiumicino),2024-11-13T08:35:00+00:00,Charles De Gaulle,2024-11-13T10:50:00+00:00
2024-11-13T08:35:00+00:00,landed,Vietnam Airlines,VN3156,None,None,Leonardo Da Vinci (Fiumicino),2024-11-13T08:35:00+00:00,Charles De Gaulle,2024-11-13T10:50:00+00:00
2024-11-13T08:35:00+00:00,landed,ITA Airways,AZ316,A21N,None,Leonardo Da Vinci (Fiumicino),2024-11-13T08:35:00+00:00,Charles De Gaulle,2024-11-13T10:50:00+00:00
2024-11-13T02:25:00+00:00,landed,DHL Air,D01262,A306,None,Halle,2024-11-13T02:25:00+00:00,Charles De Gaulle,2024-11-13T04:20:00+00:00
2024-11-13T05:50:00+00:00,scheduled,Air China Cargo,CAO,None,None,Arlanda,2024-11-13T05:50:00+00:00,Charles De Gaulle,2024-11-13T08:09:00+00:00
2024-11-13T10:15:00+00:00,active,KLM,KL2231,None,None,Tan Son Nhat International,2024-11-13T10:15:00+00:00,Charles De Gaulle,2024-11-13T18:35:00+00:00
2024-11-13T10:15:00+00:00,active,Vietnam Airlines,VN2107,None,None,Tan Son Nhat International,2024-11-13T10:15:00+00:00,Charles De Gaulle,2024-11-13T18:35:00+00:00
2024-11-13T09:00:00+00:00,landed,SAS,SK573,A20N,None,Arlanda,2024-11-13T09:00:00+00:00,Charles De Gaulle,2024-11-13T11:35:00+00:00
2024-11-13T08:35:00+00:00,landed,Etihad Airways,EY2832,None,None,Leonardo Da Vinci (Fiumicino),2024-11-13T08:35:00+00:00,Charles De Gaulle,2024-11-13T10:50:00+00:00
